label,translated_clean_data,cleaned_text
ntr,Mashrafe is feeling lacking,mashrafe feeling lacking
neg,No,
neg,"In the newspaper, the crowd of taxes of the crowd made false advertisements for Rampal",newspaper crowd taxes crowd made false advertisements rampal
ntr,"On the other hand, the Linux kernel itself is impossible to operate today without GNU compiler collection and tools, but it is impossible to use it today, but only Linux Linux is the only way to keep the GNU contributing.",hand linux kernel impossible operate today without gnu compiler collection tools impossible use today linux linux way keep gnu contributing
neg,This is a negative example text.,negative example text
ntr,Remember that the blood of Brazil is flowing inside too,remember blood brazil flowing inside
ntr,Old Dhaka Thakeswari Temple,old dhaka thakeswari temple
neg,Spell,spell
pos,So beautiful,beautiful
ntr,Remember to know if you can participate in the festival but the festival of Hindus,remember know participate festival festival hindus
ntr,"Maybe one day, Khaleda Zia is not jailed for the nation to pay the price to the nation because it is done with the purpose of the process because it can pay the nation as a citizen of the country.",maybe one day khaleda zia jailed nation pay price nation done purpose process pay nation citizen country
neg,Secretary,secretary
pos,"Today, the words of the mind are turned around in the mind, brother.",today words mind turned around mind brother
neg,That day was tested in Australia but it would have been successful that was the leaf trap of India,day tested australia would successful leaf trap india
neg,Brother Options Increase the tie of the tie of the tie of Karekaran in Madridakaliza at PS Jiyadha Neymar.,brother options increase tie tie tie karekaran madridakaliza ps jiyadha neymar
neg,Shoe beating your cheek,shoe beating cheek
pos,Look good,look good
pos,Glad Mashrafe got a hero like Mashrafe is trying to change the whole nation by introducing the whole nation to real heroes,glad mashrafe got hero like mashrafe trying change whole nation introducing whole nation real heroes
neg,This is a negative example text.,negative example text
pos,Talk about the son of the Sheikh dynastyIt will be a little different,talk son sheikh dynastyit little different
ntr,Putty,putty
neg,"Extremely hated, these policemen were beaten like a bearded by these policemen.",extremely hated policemen beaten like bearded policemen
neg,Body Builder Con Ladis Zaid Ladies Hall Salman Huff Ladies,body builder con ladis zaid ladies hall salman huff ladies
neg,This is a negative example text.,negative example text
neg,Hi -level I didn't understand that many people say Python is a very simple programming language with the simple difficult to get high level low level relationships.,hi level didnt understand many people say python simple programming language simple difficult get high level low level relationships
neg,"People like chicken Kabir made the Prothom-alo magazine as the intellectual nation's extreme disappointment, but people did not expect better comments to the Birdarpar like a freedom fighter as a freedom fighter today.",people like chicken kabir made prothomalo magazine intellectual nations extreme disappointment people expect better comments birdarpar like freedom fighter freedom fighter today
neg,Beast,beast
neg,Not crazy,crazy
neg,This is a negative example text.,negative example text
neg,Nobble,nobble
neg,"The birth of the country till today is the procession of the students to accept the blood of the student.Sweat -to -be money money is not the money to be comforted in the AC minister's AC room, but the VAT Dimu government will study for free examples.",birth country till today procession students accept blood studentsweat money money money comforted ac ministers ac room vat dimu government study free examples
pos,Love brother,love brother
neg,Shawl,shawl
neg,This is a negative example text.,negative example text
neg,This is a negative example text.,negative example text
neg,He said the girl did not agree to the marriage and said that the marriage was about to go to the police and did not get married.,said girl agree marriage said marriage go police get married
pos,A cricketer who is proud as a Bangladeshi has earned the rare honor of the country.,cricketer proud bangladeshi earned rare honor country
neg,"If you travel to St. Martin, do not get to the resort of the thief, the thief's chat is Aida",travel st martin get resort thief thiefs chat aida
neg,This is a negative example text.,negative example text
neg,The BNP has identified tolerance that the non -inflamed political society has not been confused and the case cannot be accepted.,bnp identified tolerance non inflamed political society confused case accepted
pos,There will be problems with the big Problem big problem that is solved by resolving it will be able to go through the bridge soon.,problems big problem big problem solved resolving able go bridge soon
ntr,Sirius,sirius
pos,Brother loved a lot,brother loved lot
pos,Cannot understand the commentator and goal,understand commentator goal
neg,This is a negative example text.,negative example text
neg,So I do not know when to get Ji or G like Ji Sebai Pi Nah.,know get ji g like ji sebai pi nah
ntr,The firmware file does not mean the firmware in the model and give it the copy of the modem and see if you get the interface.,firmware file mean firmware model give copy modem see get interface
neg,That is why the autocratic road will be cleansed,autocratic road cleansed
neg,"At the time, the SIM card mobile phone is not crime or the crime is still being equal in the same rhythm.",time sim card mobile phone crime crime still equal rhythm
ntr,With the story of the picture,story picture
pos,"I hope that as a wonderful episode of the time, InshaAllah has come up with details",hope wonderful episode time inshaallah come details
pos,Proceed to the plural,proceed plural
pos,The best teams in the Champion League seem to be playing,best teams champion league seem playing
neg,"The country is running in the landmark style, which is not a roadmap, wandering with the wind like a cloud to keep the nation's new life roadmap in the kind of day.",country running landmark style roadmap wandering wind like cloud keep nations new life roadmap kind day
pos,Due to this profit because of the profit,due profit profit
neg,"The way the brother said to give up the hope of winning the match of Gomez, the rest of the people would sit and suck his finger.",way brother said give hope winning match gomez rest people would sit suck finger
neg,"If the arrogance is a little reduced, many more fan will increase your",arrogance little reduced many fan increase
pos,Nice to get beautiful comments like the heart will be thank you,nice get beautiful comments like heart thank
ntr,With money,money
neg,Hypocritical poet,hypocritical poet
neg,The SIM is not forgery or the corresponding mobile phone operator's customer service center will be the cost to change the SIM with the value added tax to change the SIM.,sim forgery corresponding mobile phone operators customer service center cost change sim value added tax change sim
neg,This is a negative example text.,negative example text
pos,"The corrupt fisherman is free and corrupt in the corrupt fishermen, but the corrupt people are in jail for the jail, but regret.",corrupt fisherman free corrupt corrupt fishermen corrupt people jail jail regret
neg,No that is worse,worse
neg,"The party does not have the bandar of the party, this year's visit to Bangladesh, Bangladesh Pitch making started from the very beginning of the player's election field, whose result is the result of the result.",party bandar party years visit bangladesh bangladesh pitch making started beginning players election field whose result result result
pos,It was nice to see,nice see
neg,The father of the country will say that the mother of the country will ask for the father and will not be fulfilled at Gopalganj.,father country say mother country ask father fulfilled gopalganj
neg,This is a negative example text.,negative example text
pos,Haha haha ​​great,haha haha great
neg,"The man named the chicken poet thinks that the enemy of Islam is not the enemy of Islam, but you are also scandalized by the atheist Paris, you have given you the right to include all of your party in the atheist group, and the Awami League principles will be established by the entire party.Allah will read you the guidance of you to die",man named chicken poet thinks enemy islam enemy islam also scandalized atheist paris given right include party atheist group awami league principles established entire partyallah read guidance die
neg,"Meanwhile, thousands of people are spending half -day in the tin rice, the media does not notice",meanwhile thousands people spending half day tin rice media notice
neg,This is a negative example text.,negative example text
ntr,Jirona,jirona
ntr,In order,order
neg,"They do not come to the Muslim Muslim dies, but the non -Muslim mother -in -law used to abuse the world, but now the Muslims are not sitting on their backs to protest the humanitarian organization.",come muslim muslim dies non muslim mother law used abuse world muslims sitting backs protest humanitarian organization
neg,The best jargabalish Shahriar Shahriar khek fox is the only one who saw the appearance of the devil's faith in the devil.,best jargabalish shahriar shahriar khek fox one saw appearance devils faith devil
pos,Shankhari Bazar Bazar area and yes everyone can attend,shankhari bazar bazar area yes everyone attend
pos,Love brother,love brother
pos,Nice to love the pictures of your joyful moments of Baby,nice love pictures joyful moments baby
neg,When the Chattibizers debut as a writer,chattibizers debut writer
neg,"If Valvarde Sir is in the group, please come forward",valvarde sir group please come forward
pos,"Every time Suni is in the song, I am watching the shepherd",every time suni song watching shepherd
neg,"Want to condemn against anyone professional, but I have given you the responsibility of the amateur Sujan to deal with professional ways whose hair is found to play the result of playing.",want condemn anyone professional given responsibility amateur sujan deal professional ways whose hair found play result playing
neg,Grameenphone company,grameenphone company
ntr,There is nothing to say,nothing say
neg,"The declaration of independence has not heard that the war has been arrested, everyone knows that the war was going on. Everyone knew that the announcer was busy.",declaration independence heard war arrested everyone knows war going everyone knew announcer busy
neg,This is a negative example text.,negative example text
pos,Good work,good work
pos,"Hero, despite the hundreds of obstacles, is on their way to their own way, there are many shadow walls to break the shadow walls of the real heroes are not the heroes of the movie drama.Salute to real -life heroes",hero despite hundreds obstacles way way many shadow walls break shadow walls real heroes heroes movie dramasalute real life heroes
neg,Stolen,stolen
neg,The thief takes a thief when he looks at the face,thief takes thief looks face
neg,What kind of gomez love did not understand,kind gomez love understand
ntr,South Africa took India lightly,south africa took india lightly
pos,Brother has dropped a few times and then it looks good to read,brother dropped times looks good read
pos,Thanks dear friend,thanks dear friend
neg,"Where did you get the brother, brother",get brother brother
pos,Great news,great news
pos,Where Pulpan Fab says brother link hoppe can understand the link.,pulpan fab says brother link hoppe understand link
neg,Exclude Fizmali,exclude fizmali
neg,"Yet the government of Bangladesh is going to lick the uneven cheeks of the Government of India, and the cheek should be slapped.",yet government bangladesh going lick uneven cheeks government india cheek slapped
neg,The hell of the hell ignored the bolt of many large sizes,hell hell ignored bolt many large sizes
pos,"Some of the crazy crazy pizzies are thinking of buying a team of money, everyone says madness madness love.",crazy crazy pizzies thinking buying team money everyone says madness madness love
ntr,I heard a lot of siblings I was writing briefly,heard lot siblings writing briefly
ntr,Valvarde Kakui knows best,valvarde kakui knows best
pos,"No one can say except the setato coach, but it would be better to go down the card and find the ball when you get the ball.",one say except setato coach would better go card find ball get ball
pos,Laughing,laughing
neg,Scolding,scolding
neg,Camon,camon
neg,Thieves,thieves
neg,Thief,thief
neg,I heard that during the War of Independence the Pak army would supply chicken supplies to be appropriate punishment,heard war independence pak army would supply chicken supplies appropriate punishment
ntr,I thought I was downloading with AMD Lapi to see Auto Download AMD version,thought downloading amd lapi see auto download amd version
ntr,Retirement is not seeking safe exit,retirement seeking safe exit
ntr,"The debt is a sign of the husband's love for the wife, which the husbands give in accordance with the financial capacity.It is financial lane - not a matter of donation, love and respectStupid",debt sign husbands love wife husbands give accordance financial capacityit financial lane matter donation love respectstupid
ntr,Morakaba caught when the eyes were understood or not,morakaba caught eyes understood
pos,These are ours,
pos,The golden days are less than the brother's ghost,golden days less brothers ghost
neg,This is a negative example text.,negative example text
pos,The news is very good,news good
neg,"Guru Ganja Banila, I see everyone talking about Abol Tabol",guru ganja banila see everyone talking abol tabol
neg,Wash,wash
pos,Jani is wrong but the water in the corner of the eye has come well,jani wrong water corner eye come well
ntr,Faizlami,faizlami
pos,Two days were very good for the welfare of the man next to him,two days good welfare man next
pos,Those who do not need 100 percent believed tests do not require,need percent believed tests require
neg,This is a negative example text.,negative example text
pos,Love you,love
neg,This is a negative example text.,negative example text
pos,Like,like
neg,Myr,myr
neg,"People who dislike guilty people will not be easily trapped to say that the criminal will not be able to catch the criminals, but the crime is not found in the crime criminal class, but this is the reality of keeping the guilty in the safe song of the light of the light of the light of light.",people dislike guilty people easily trapped say criminal able catch criminals crime found crime criminal class reality keeping guilty safe song light light light light
ntr,One of the favorites,one favorites
pos,Want to hear the song repeatedly,want hear song repeatedly
pos,Nice unarmed no longer congrats you,nice unarmed longer congrats
neg,The title is a sudden 'allergy' in Bangladesh cricket,title sudden allergy bangladesh cricket
neg,Everyone likes to disqualify Khaleda Zia in the same way,everyone likes disqualify khaleda zia way
neg,"If I do not like the military, then Ershad's tenure is a good time in Bangladesh during the rest of the robbery.",like military ershads tenure good time bangladesh rest robbery
neg,"As well as research in foreign doctors, doctors familiar with new technologies as a result of research",well research foreign doctors doctors familiar new technologies result research
ntr,This is a neutral example text.,neutral example text
neg,"In the country, there is a lack of intellectuals in the country to be so intellectuals that the first al -Ala's interview is not known to the Islamic Islamic scholarship, and that any religious warrior of Muslims love to propagate the fundamentalism as a communalism.The greater population will consider the religious world",country lack intellectuals country intellectuals first al alas interview known islamic islamic scholarship religious warrior muslims love propagate fundamentalism communalismthe greater population consider religious world
neg,Arrest,arrest
neg,"Well, I do not think the service direction is in place.",well think service direction place
ntr,"If the SIM does not require sincere and if the police are independent, then the crime will be reduced to the crime.",sim require sincere police independent crime reduced crime
pos,Thanks Bhai and he is a public believer in that kind of public,thanks bhai public believer kind public
neg,The enemy is to excavate these stalk,enemy excavate stalk
neg,The doctors could not treat a headache on the horse's egg,doctors could treat headache horses egg
neg,This is a negative example text.,negative example text
pos,Rag,rag
pos,Looked good,looked good
pos,"The appearance is good, so everyone in the game is playing such games, the players are more handsome.",appearance good everyone game playing games players handsome
ntr,Welcome the new attempt with all the feelings of the mind,welcome new attempt feelings mind
neg,The administration was able to find the backyard,administration able find backyard
ntr,"Okay, Anu's brother will give",okay anus brother give
pos,Extraordinary,extraordinary
ntr,The Required Edit has been done in accordance with the request of the amendment,required edit done accordance request amendment
neg,Bangladeshi media Prithvi's most terrible media topic is found in Pregnant Kaira after the release of Priya after the release of Priya.,bangladeshi media prithvis terrible media topic found pregnant kaira release priya release priya
neg,"Seven people, including six foreign nationals were arrested on suspicion of alleged conspiracy, were detained on February four of those detained in Yemen.",seven people including six foreign nationals arrested suspicion alleged conspiracy detained february four detained yemen
neg,"Randia, the main enemy of Bengal",randia main enemy bengal
ntr,Ham,ham
pos,Nice to the song,nice song
neg,This is a negative example text.,negative example text
neg,This is a negative example text.,negative example text
neg,He is like a human being and the happiness of the animal is how to be the name of the father himself.,like human happiness animal name father
neg,"The cockroach is also the author of Shahriar Kabir, the author of the bird",cockroach also author shahriar kabir author bird
pos,Thanks to the beautiful story Abuhaena Md. Ashraful Islam,thanks beautiful story abuhaena md ashraful islam
pos,Laughter Dilir Father Pictures are pretty nice,laughter dilir father pictures pretty nice
ntr,Tamim Sarkar Mushi has no urge to be spit,tamim sarkar mushi urge spit
pos,Beautiful,beautiful
pos,O O O O,
neg,Each batsman felt that no one had ever batted,batsman felt one ever batted
ntr,"If the power of the power party was the head of the political party, I would have given the quota issue to the people of the country, if the people of the country would not want, then the quota of the total votes in favor of the cancellation of the vote did not want to vote and joined the constitution again if the political party wanted to launch quota again, but again to launch the quota.",power power party head political party would given quota issue people country people country would want quota total votes favor cancellation vote want vote joined constitution political party wanted launch quota launch quota
pos,Brother loves so much,brother loves much
neg,The only reason you launch biometric is that these countries will no longer chaos to make anti -government voices.,reason launch biometric countries longer chaos make anti government voices
neg,Aph,aph
pos,Be happy for a lifetime of bonding,happy lifetime bonding
neg,"The girl does not see much in the hands of the girl, the criminal is not so stupid or crime with the sim",girl see much hands girl criminal stupid crime sim
neg,Teletalk iPhone customers will be able to use the reporter from the beginning.,teletalk iphone customers able use reporter beginning
neg,Drunk is a day of addiction,drunk day addiction
ntr,"If you do not know directly, you do not have the opportunity to answer the wrong answer to the best overconfident",know directly opportunity answer wrong answer best overconfident
pos,"Alhamdulillah is proud of as a Bengali, the son of the golden son of the ICC, the emerging cricketer of the Year of the year, cannot explain to brother.",alhamdulillah proud bengali son golden son icc emerging cricketer year year explain brother
ntr,Brother will be able to play Greezman tomorrow,brother able play greezman tomorrow
pos,The pictures are good,pictures good
ntr,Depending where you live,depending live
neg,The most corruption in the banking sector of Bangladesh,corruption banking sector bangladesh
pos,Today I saw on Channel I like,today saw channel like
neg,Tomorrow is the leader of the leader to buy the question that is new. Its simple nothing new,tomorrow leader leader buy question new simple nothing new
neg,Another shawl is the news,another shawl news
ntr,The feature of the good headphones is that you hear Clear Music Soft Base Realistic sound all day,feature good headphones hear clear music soft base realistic sound day
neg,The biometric of the SIM has been made so quickly and can now not catch these cycles,biometric sim made quickly catch cycles
pos,Hathurusinghe proved that a strong party left the absence quick,hathurusinghe proved strong party left absence quick
neg,Knot,knot
neg,The police are the king of the country illegally to the plane of the police brother sitting on the plane,police king country illegally plane police brother sitting plane
neg,"You do not see the tree and do not know the religion in the life of the tree, the religion will understand religion.",see tree know religion life tree religion understand religion
ntr,He saw on Facebook that he was on Facebook,saw facebook facebook
pos,Congratulations to Tumi Mustafiz Tumi suit you all got all over,congratulations tumi mustafiz tumi suit got
neg,"The chicken poet Majupur used to come to Jutapida in his own hands, the poet of the Quran, the Shautu of the Quran.",chicken poet majupur used come jutapida hands poet quran shautu quran
neg,Animals,animals
neg,Thank You Cartoon needed the best club so far in one match resulting in the result of one match.,thank cartoon needed best club far one match resulting result one match
neg,This is a negative example text.,negative example text
neg,"If the Awami League is happy to hear the old speech, Yahya's people are unable to match the day with the coming time",awami league happy hear old speech yahyas people unable match day coming time
pos,Hmm brother gets the ball when he sees the tension,hmm brother gets ball sees tension
ntr,Us,us
ntr,Salute,salute
neg,This is a negative example text.,negative example text
neg,The award given by the thief is so enthusiastic of Bangladeshi,award given thief enthusiastic bangladeshi
pos,Ecratic job without experience,ecratic job without experience
neg,Refugees went to Japan to work in nuclear center as two Bangladeshis were victims of fraud,refugees went japan work nuclear center two bangladeshis victims fraud
pos,Love brother,love brother
neg,Learn to write Bangla correctly,learn write bangla correctly
neg,Zaid Khan The Bangladeshi Best Salman does not follow the bracelets with a bracelet,zaid khan bangladeshi best salman follow bracelets bracelet
neg,Women are the real enemies of women,women real enemies women
neg,"Rahul Gandhi made the Chief Minister of Uttar Pradesh Chief Minister like Yogi Adityanath, like Yogi Adityanath, but at least non -violence was not development or another Gujarat.",rahul gandhi made chief minister uttar pradesh chief minister like yogi adityanath like yogi adityanath least non violence development another gujarat
ntr,Chandgazi brother is not blogger,chandgazi brother blogger
neg,Sala Malawan's baby Boliki,sala malawans baby boliki
neg,It would be toke to kill Bash without playing with BCB and India,would toke kill bash without playing bcb india
neg,"The head of Bengali is the groom of the nun, the jerguid itra",head bengali groom nun jerguid itra
neg,So did so much to take the prize but nothing on the group,much take prize nothing group
neg,The sun has not even risen to fear the Feminists of Women's Day today,sun even risen fear feminists womens day today
pos,Alhamdulillahboling Action had a valid conviction but as much as the randia of the riot.,alhamdulillahboling action valid conviction much randia riot
neg,This is a negative example text.,negative example text
neg,Pepp's enemy is seeking brother,pepps enemy seeking brother
neg,The speed of the speedy Sujan Mahmud team coach Kam Manager Kam Hartakartabharata Denman is no longer needed.,speed speedy sujan mahmud team coach kam manager kam hartakartabharata denman longer needed
ntr,Brother He was a freedom fighter,brother freedom fighter
pos,Beautiful,beautiful
neg,"The condition of the indigenous operator is far from the CUB, but the non -supported device in Linux is the market.",condition indigenous operator far cub non supported device linux market
neg,"SIM registration Bangladeshi people are murdered like animals,",sim registration bangladeshi people murdered like animals
pos,Batsman Mushfiq is unimaginable,batsman mushfiq unimaginable
pos,"Good people in the world still say that the world is moving in the world as if the man is in the world, Amin.",good people world still say world moving world man world amin
neg,"We want to justify the hellish incident as a minority, we are so tortured",want justify hellish incident minority tortured
neg,This is a negative example text.,negative example text
neg,That is to say that the practice of winning the Bangladesh team was not the touch of the captain's magic.,say practice winning bangladesh team touch captains magic
neg,Look at your own dog's own,look dogs
pos,"Alhamdulillah is proud of as a Bengali, the son of the golden son of the ICC, the emerging cricketer of the Year of the year, cannot explain to brother.",alhamdulillah proud bengali son golden son icc emerging cricketer year year explain brother
ntr,Nun,nun
pos,Love is endless,love endless
neg,As much dilemma news,much dilemma news
ntr,After waiting for a long time I got,waiting long time got
neg,Actually suspect birth,actually suspect birth
pos,The only joy of entertaining the kind of hate is ragovani failed ♥,joy entertaining kind hate ragovani failed
neg,"Mint Ekare wants to say new to use Mint, never heard of graphics",mint ekare wants say new use mint never heard graphics
neg,If you do not have to change your decision,change decision
pos,"This is called Respect, the Respect is the Respect.",called respect respect respect
neg,"'If so, I will boycott the radio'.",boycott radio
pos,Nice point,nice point
pos,Extraordinary,extraordinary
neg,It would have been better if Mal Abullah could play a little tabla on the head,would better mal abullah could play little tabla head
neg,Alas,alas
pos,Love brother is much more,love brother much
ntr,The match is lost but Real Liga is on the top,match lost real liga top
neg,"The people of the church are not the same as the shoes of themselves, and the shoes are no longer accepted by Maududism",people church shoes shoes longer accepted maududism
neg,"If you do not get the chance to play the Dembele career of the minute, you will see that after the season, Mancity Manu, who will give the results of another diamond, I think Barca is now better to sign the best of the midfield.",get chance play dembele career minute see season mancity manu give results another diamond think barca better sign best midfield
neg,Gazakore's group was beaten on the Pakistan border and gave a deadly weapon on the Bangladesh border,gazakores group beaten pakistan border gave deadly weapon bangladesh border
pos,Guru,guru
pos,"Many thanks to the first light, the water came to the eyes of the eyes.",many thanks first light water came eyes eyes
pos,They were naughty mom's ginger naughty boys are a little naughty not even you are naughty to report it,naughty moms ginger naughty boys little naughty even naughty report
ntr,Do not have difficulty,difficulty
pos,Brother you are Seravalbashi brother,brother seravalbashi brother
neg,This is a negative example text.,negative example text
neg,"Fraud Mainley Sales.com may follow other sites like Facebook where people give the number of names with names, many people extend their helping hand and get ten birds a day to get business successful.",fraud mainley salescom may follow sites like facebook people give number names names many people extend helping hand get ten birds day get business successful
pos,Good symptom,good symptom
pos,Ray,ray
neg,The happiness of the madness is that brother Setat I also say crazy happiness in mind,happiness madness brother setat also say crazy happiness mind
neg,What I thought was to read the writing is actually the burden,thought read writing actually burden
ntr,People actually want social media and various surveys visible,people actually want social media various surveys visible
neg,The facilities on the advantage iPhone cannot be found,facilities advantage iphone found
neg,It is possible to raise a hand on a teacher only if it is bad,possible raise hand teacher bad
ntr,Topic was not answered anymore I saw last night,topic answered anymore saw last night
pos,"Niyomito Chharpoka Brand Lisena likes your songs and various rapp songs by writing the song of the Destick today, I hope to send the song after sharing the song on the song of the people, but you want to sing the song, but you will not know the YouTov channel but Gmail two songs.",niyomito chharpoka brand lisena likes songs various rapp songs writing song destick today hope send song sharing song song people want sing song know youtov channel gmail two songs
pos,Brother so much love you,brother much love
neg,This is a negative example text.,negative example text
neg,"Those who understand and do not understand at once, do not understand the opposite, there is no capacity of understanding the style, so do the pearl in the wool.",understand understand understand opposite capacity understanding style pearl wool
ntr,His maximum punishment to the highest palace of the police will not be prevented if there is no exemplary punishment. ',maximum punishment highest palace police prevented exemplary punishment
neg,Hands Starts Kapakapi 😲 R U Kiding Me,hands starts kapakapi r u kiding
neg,This is a negative example text.,negative example text
neg,It is easy to identify the opposition of the opposition to speak like fools,easy identify opposition opposition speak like fools
ntr,The most difficult league EPL,difficult league epl
neg,As well as launching a critical program will understand that people really want,well launching critical program understand people really want
pos,Let's get the lyrics of the song,lets get lyrics song
ntr,Jazakallah,jazakallah
pos,A lot of love,lot love
neg,"It is urgent that is not at all permission, if it is disrespectful, then I will boycott the radio.",urgent permission disrespectful boycott radio
pos,The beginning is great,beginning great
neg,This is the Satan Sangha,satan sangha
ntr,"You are not Mashrafe, you are another name for Bangladesh love Mashrafe you will survive in the hearts of billions of fans.",mashrafe another name bangladesh love mashrafe survive hearts billions fans
neg,First Light Online Survey results regularly see a clear idea of ​​the plight of your popularity,first light online survey results regularly see clear idea plight popularity
ntr,View Salman Shah Kids Public Fashions A.,view salman shah kids public fashions
neg,This is a negative example text.,negative example text
pos,Nice thank you many thanks,nice thank many thanks
neg,How much more will I see,much see
pos,Entertainment,entertainment
pos,Nice to make special Feni Saiful still wants to make others after hundreds of busy times Saiful love you.,nice make special feni saiful still wants make others hundreds busy times saiful love
neg,Beta chicken is the poet's intellect,beta chicken poets intellect
neg,The fools to the fools are stupid they have proved with screenshots to prove high quality fools,fools fools stupid proved screenshots prove high quality fools
neg,"Australia England can play a lot of good cricket on the field of Africa on the two -board two -year -old Hadm. Their tribute was being tributed on the day they blamed the ICC, you blamed India, while Ajira played class cricket in the crazy class cricket field.The main behind the reproach of Bangladesh cricket is that Australia's visit to Australia is canceled or Classi Aji Aji Third Cricket Ray Thu Marie Today Mashrafi Code of Conduct and Career Ray Middle Finger can be washed in ICC.Pellastick protested in a good spine in the bat today.Mashrafe flying in the Code of Contact, Mashrafe said that he would not think about his career, I would have said that the country will serve next year.Finger lifting",australia england play lot good cricket field africa two board two year old hadm tribute tributed day blamed icc blamed india ajira played class cricket crazy class cricket fieldthe main behind reproach bangladesh cricket australias visit australia canceled classi aji aji third cricket ray thu marie today mashrafi code conduct career ray middle finger washed iccpellastick protested good spine bat todaymashrafe flying code contact mashrafe said would think career would said country serve next yearfinger lifting
neg,"To give the country forward to the peak of improvement, the quota system does not give the opportunity to evaluate qualified people in any way to work in a qualified person, but the eligible is one of the most neglected political parties want the real development of the country, but the foul emotions come out and complete the quota system of the employment.",give country forward peak improvement quota system give opportunity evaluate qualified people way work qualified person eligible one neglected political parties want real development country foul emotions come complete quota system employment
neg,Missing the goal is Art So Benzema is the best artist,missing goal art benzema best artist
neg,"The Chhatra League is observing the Chairbhanga anniversary at the great ceremony, no one is feeling the need to stop",chhatra league observing chairbhanga anniversary great ceremony one feeling need stop
pos,Ha ha ha Sorry late the comment was not the way to give a little details a little thanks to the words,ha ha ha sorry late comment way give little details little thanks words
pos,The thrilling one travel experience,thrilling one travel experience
neg,Sem -story,sem story
neg,It takes people to clean the ears 🤕,takes people clean ears
neg,Duplicate India is now the subject of seeing the nature of Bangladesh to see if the minister is thinking of the top person's bullet proof bathroom.,duplicate india subject seeing nature bangladesh see minister thinking top persons bullet proof bathroom
neg,Mana,mana
neg,This is a negative example text.,negative example text
pos,"When Madrid left, he was playing well while in the form of Madrid",madrid left playing well form madrid
pos,Great post,great post
neg,Is not in the country,country
neg,Rajuk's corrupt people do not want the company's online service to be effective quickly as the service will be reduced if the corrupt violence will decrease due to the attempt to influence the responsible people in various ways.,rajuks corrupt people want companys online service effective quickly service reduced corrupt violence decrease due attempt influence responsible people various ways
pos,Enjoyed the day well,enjoyed day well
pos,Mashrafe means Red Green Bangladesh Mashrafe means that the love of hundreds of people Mashrafe means that Bangladesh cricket has been changing for thousands of years of loved fans.,mashrafe means red green bangladesh mashrafe means love hundreds people mashrafe means bangladesh cricket changing thousands years loved fans
neg,FALSE,FALSE
pos,"It is possible to say how big it was to say, thank you to everyone involved in the project",possible say big say thank everyone involved project
ntr,This is a neutral example text.,neutral example text
neg,"Each person does not remember the common people of sitting in power in the public interest, rather than in the interest of the party, they will not be able to learn better in the right way in the right way.",person remember common people sitting power public interest rather interest party able learn better right way right way
neg,"The names of the Bengal Regiments and EPRAs, the illiterate freedom fighters of the village, were more than a thousand times more than the PhDs of Dhaka Rajshahi and Chittagong University.",names bengal regiments epras illiterate freedom fighters village thousand times phds dhaka rajshahi chittagong university
neg,"Hey brothers do not understand that their Uncle Phone in Like Taj is saying that Taj is actually your father's daughter, but you have sex with your mother and then your mom pregnant then you are born this way.",hey brothers understand uncle phone like taj saying taj actually fathers daughter sex mother mom pregnant born way
neg,This is a negative example text.,negative example text
pos,ICC is the emerging cricketer of the Year of the Year Master Master Mustafizur Rahman Congratulations Fijj,icc emerging cricketer year year master master mustafizur rahman congratulations fijj
ntr,Hmmm is easy and complicated if you are easy,hmmm easy complicated easy
ntr,Whether we are on the way to see every year,whether way see every year
neg,Surprise,surprise
neg,The idol is not removed,idol removed
pos,Extraordinary King Messi,extraordinary king messi
ntr,The night is as deep as the fear comes as close,night deep fear comes close
neg,This is a negative example text.,negative example text
neg,Have gone into the rights of the ruins,gone rights ruins
neg,"In the month of Independence, the interview of the rajakar is shy",month independence interview rajakar shy
neg,The hammer is now understood that the player understands the player to understand the player and understand that the opponent will understand the weakness of the opponent player.Like the good coach in the country does not think in the country,hammer understood player understands player understand player understand opponent understand weakness opponent playerlike good coach country think country
neg,The whole Hindu culture is coming here to the elephant horses. They fought various evil forces in the Hindu religious texts to conspire to spread the Muslims.,whole hindu culture coming elephant horses fought various evil forces hindu religious texts conspire spread muslims
pos,Look good,look good
neg,This is a negative example text.,negative example text
pos,Mean that Messi is not an alien man,mean messi alien man
ntr,Where does the English course do well and what is the cost,english course well cost
neg,Maybe you will come to poisoning to spread,maybe come poisoning spread
neg,"I would say that the people of Bangladesh are trembling in anger when the government employees get the benefit of the villagers and the people of the village are foolish or the dark calls, who have seen the darkness of the video call, who died in the village, which will not get better than thanks to the Grameen Phone G.",would say people bangladesh trembling anger government employees get benefit villagers people village foolish dark calls seen darkness video call died village get better thanks grameen phone g
pos,Extraordinary Written by brother,extraordinary written brother
neg,I also play the upset Abalta,also play upset abalta
neg,You are bad girl Shara Day on Facebook,bad girl shara day facebook
neg,"Women can sit in any seat if you want to know that the purpose of the blog is that most of the day when local buses are filled with public buses, women cannot equally occupy seats with men.",women sit seat want know purpose blog day local buses filled public buses women equally occupy seats men
pos,"Mashrafe really watched the eyes of the fantastic vivide, the water came out of your raye endless love Prothom-alo.",mashrafe really watched eyes fantastic vivide water came raye endless love prothomalo
pos,Understand the u heb to course,understand u heb course
neg,Gomez Sahib of everyday boring things broke when I saw Ore in Barcelona's jersey.,gomez sahib everyday boring things broke saw ore barcelonas jersey
